source,target,tweetid,text,retweets,favourites,includesimage
Jason M Kelly,Jason_M_Kelly,1419868213,Don_éìt Miss the Film Festival at the American Historical Association Meeting http://ow.ly/GxOhS™_ #aha2015 #twitterstorians,1,0,FALSE
Stephanie A Kingsley,KingsleySteph,1419868337,"To read the digital projects lightning round session abstract, go to http://bit.ly/1HVZNBc™_ #aha2015 #twitterstorians #history",0,1,FALSE
AHA,AHAhistorians,1419868397,RT @KingsleySteph: Read digital projects lightning round abstract at http://bit.ly/1HVZNBc™_ #aha2015 #twitterstorians #history,4,2,FALSE
SHAFR historians,SHAFRhistorians,1419868745,SHAFR Events at #AHA2015 (NYC- January 2015) https://shafr.org/content/shafr-events-aha-nyc-january-2015™__éÙ,9,3,FALSE
Vanessa Varin,VLVarin,1419868819,One of the must see panels at @AHAHistorians #AHA2015: How Can I Be A Historian In This Job? http://bit.ly/1t9jte2™_ #Twitterstorians #postac,5,1,FALSE
Monica L. Mercado,monicalmercado,1419869716,@megankatenelson #aha2015 #moresequins,0,0,TRUE
Lori Flores,lori_flori,1419869916,"Hey historians, I want to see some GQ and runway looks at #AHA2015 this wknd. Hilarity from @megankatenelson http://www.megankatenelson.com/top-ten-looks-for-your-aha-interview/™__éÙ",0,4,TRUE
Michelle Moravec,ProfessMoravec,1419871698,"In keeping with #aha2015 interdisciplinarity theme, I'm bringing @triciamatthew to the #twitterstorians reception!!",0,3,FALSE
U.S. Religion Blog,USReligionBlog,1419874191,It's #AHA2015 week and @monicalmercado has your digital religion preview http://usreligion.blogspot.com/2014/12/digital-religion-at-aha-2015.html™__éÙ,5,3,FALSE
Adjunct Action,AdjunctAction,1419874445,"Tenured, #adjunct, grad student? We want to see you at our #aha2015 reception Sat. 6:30-7:30 Concourse D NY Hilton #twitterstorians",2,0,FALSE
Gene Zubovich,genezubovich,1419876585,Especially looking forward to #AHA2015 panel on public intellectuals https://aha.confex.com/aha/2015/webprogram/Session10952.html™__éÙ,0,2,FALSE
Michael D. Hattem,MichaelHattem,1419876606,Looking forward to sitting on an #AHA2015 panel about dissertation embargoes (and open access more broadly). https://aha.confex.com/aha/2015/webprogram/Session12500.html™__éÙ,1,1,FALSE
History Coalition,HistCoalition,1419877873,Attending #AHA2015? We'll be there discussing our activity throughout 2014 and plans for 2015: http://bit.ly/1Bfo5DU™_ Join us!,0,1,FALSE
Vanessa Varin,VLVarin,1419878148,For the #AHA2015 job seeker who wants to standout amongst a sea of drab suits: http://www.megankatenelson.com/top-ten-looks-for-your-aha-interview/™__éÙ,6,3,FALSE
Michael Leroy Oberg,roanoac1585,1419880012,#aha2015  Am I the only one who wishes the AHA was more in touch with those if us at underfunded public colleges that emphasize teaching?,0,0,FALSE
_èò·_öò_ òùò_ò·ò¯ _ô_ö ò·_•ò·òÒòù_öM,mariam3meem,1419880285,PLEASE,,,
NEHA ,NEHistoryAssoc,1419880454,"Going to #aha2015 this week? Stop by our NEHA table on Saturday, for conversation and swag!",2,0,FALSE
Jason R. Sellers,JasonRSellers,1419882329,_é£@samplereality: You can sum up the differences between historians and literary scholars by their convention hashtags: #AHA2015 and #MLA15._éó,0,0,TRUE
Pete Cajka,petecajka,1419883065,Now setting my schedule for #aha2015!,0,4,FALSE
Gene Zubovich,genezubovich,1419883177,"#AHA2015 & #ASCH2015 panel on #religion & foreign policy, continuing a discussion begun at 2014 @SHAFRConference mtg https://aha.confex.com/aha/2015/webprogram/Session11638.html™__éÙ",3,0,FALSE
Pete Cajka,petecajka,1419884389,A Conversation about Mark Noll_éìs America_éìs God and @JohnModern  Secularism in Antebellum America. 10:30 am on Saturday. #aha2015 #amrel,5,2,FALSE
Liz Covart,lizcovart,1419887045,How Can I Be a Historian in This Job? @VLVarin #AHA2015 #Twitterstorians  http://histry.us/1JXtq8X™_,2,2,FALSE
AHA,AHAhistorians,1419887091,"RT @monicalmercado: My morning reminder: #AHA2015, stay for #THATCamp Tuesday Jan. 6 at @TheNewSchool. Register now! http://aha2015.thatcamp.org/register/™_",0,1,FALSE
arh1,arh1,1419889045,#aggies #AHSFREAKSHOW #aha2015 #AHS #AhListoQueVillero #AirAsia RT Please! Signs of Possible Cancer You Need To Know http://goo.gl/q8BkRl™_,0,0,FALSE
AHA,AHAhistorians,1419889196,"RT @HistoryCtr: NYC workplaces past & present: conversation w/ @rachelswarns, @davidhuyssen & others at #aha2015 http://bit.ly/1wLSxob™_",0,1,FALSE
Anne Whisnant,amwhisnant,1419892298,"@samplereality Historians worry about the long term. Centuries from now, might not know which ""15"" it is! :) #aha2015 #mla15",0,1,TRUE
mary dudziak,marydudziak,1419892473,Interesting #AHA2015 panel Sat 10:30 am: Far from Heaven:Perspectives on Hell through the Ages via Amer Soc. Church History #twitterstorians,1,2,FALSE
Anne Whisnant,amwhisnant,1419892525,"Patting myself on the back for NOT proposing a sess 4 #aha2015. I am NOT now stressing, but looking forward 2 a few days in NYC.",0,4,FALSE
mary dudziak,marydudziak,1419893193,"My #AHA2015 panel, The Transnational Landscapes of Civil Rights &",,,
Gene Zubovich,genezubovich,1419893359,One more #AHA2015 & #ASCH2015 panel of note: Discourses of Secularism and Pluralism https://aha.confex.com/aha/2015/webprogram/Session12139.html™__éÙ,1,3,FALSE
mary dudziak,marydudziak,1419893570,"Lots of good Sun am #AHA2015 panels eg: 11:30 am Historians & the New Sound Studies w/ papers on Sonic Booms, the Medieval Cloister & more.",0,0,FALSE
Erin Bartram,erin_bartram,1419894393,"#AHA2015 approaches, so it's time for me to be one of the #twitterstorians again. Looking forward to a busy weekend in NYC!",0,2,FALSE
Katrina Gulliver,katrinagulliver,1419894408,"@MapStory you're sponsoring the #twitterstorians party again!! that is super generous. For all of us, thank you #AHA2015",6,3,FALSE
mary dudziak,marydudziak,1419894611,Great AfAm hist Mon 8:30 #AHA2015 incl Understanding Ferguson: Race Power Protest&the Past w @KhalilGMuhammad @ColinGordon6 @TomSugrue othrs,19,9,FALSE
mary dudziak,marydudziak,1419894752,The Black 1980s @ #AHA2015 Mon 8:30 w @PenielJoseph & others sadly conflicts w/ #Ferguson panel & my flight. Best wishes for a great panel.,2,0,FALSE
Tara Strauch,historian_tara,1419898619,I have my new tweed jacket with elbow patches all ready for #aha2015 ! #academicfashion,0,6,FALSE
Pete Cajka,petecajka,1419905203,@BCHistoryDept historians @GrainneMcEvoy and @Carolyngian present  Sunday at 2:30 at #AHA2015. (different panels),2,3,FALSE
Maura Cunningham ‘∏˘___∂©£,mauracunningham,1419905267,Looking at my bank account and contemplating a serious question: how much can I afford to spend at the #AHA2015 book exhibit??,0,1,FALSE
Pete Cajka,petecajka,1419905681,"Monday, 8:30, #AHA2015, @charleststrauss: ""From",,,
Dara Walker,afroshedoc,1419908321,Shout out to the AHA for scheduling the Ferguson panel and the Black 1980s panel at the same time :/ #AHA2015,0,1,FALSE
Jared S. Burkholder,jsburkholder,1419912956,Here's hoping for strong attendance at our upcoming sessions on Pietism at the AHA annual meeting in NYC. #AHA2015 @pietismstudies,1,2,FALSE
Eleanor Shevlin,belladead,1419913341,2 SHARP events @  #AHA2015,,,
Eleanor Shevlin,belladead,1419913536,"SHARP @ #AHA2015 sponsored panel, Jan 3rd 2:30 - 4:30 pm ""The Practice of Book History: Between and beyond Disciplines""",7,2,FALSE
Eleanor Shevlin,belladead,1419913600,"SHARP @ #AHA2015 panel on Jan. 3rd  2:30 - 4:30 pm in Green Room (4th floor) of the New York Hilton, Midtown (1335 Avenue of the Americas).",2,1,FALSE
Liz Covart,lizcovart,1419916207,How Can I Be a Historian in This Job? @VLVarin #Twitterstorians #AHA2015 #historyjobs  http://histry.us/1xsmxpC™_,0,2,FALSE
Oxford Academic,OUPAcademic,1419939311,AHA 2015: Kicking off the new year with the American Historical Association and OUP http://oxford.ly/13XzUEn™_ #AHA2015,0,5,TRUE
Elaine Carey,lenicarey,1419945600,"#AHA2015 #Teaching #History. Food Will Win the War: K-12 #Educators_éì™_Workshop Teaching World War I, 1914_éç19 https://aha.confex.com/aha/2015/webprogram/Session12553.html™__éÙ",0,2,FALSE
H-Albion,halbion,1419947225,RT @Jason_M_Kelly: Don_éìt Miss the Film Festival at the American Historical Association Meeting http://ow.ly/GxOhS™_ #aha2015,1,2,FALSE
EarlyAmWomen,EarlyAmWomen,1419947685,let us know about early American women's history happenings at #AHA2015!Tweet @EarlyAmWomen  #twitterstorians #womenshistory,0,1,FALSE
National History Ctr,HistoryCtr,1419949707,"Coming to #aha2015? Check out NHC panels on the Voting Rights Act, oral history, Asian American immigration & more: http://bit.ly/1wLSxob™_",2,0,FALSE
Audra J. Wolfe,ColdWarScience,1419950873,"Today's project: scheduling #aha2015. Def at the SHAFR reception, #twitterstorian reception, and mock interviews (as interviewer).",0,2,FALSE
Vanessa H,HPS_Vanessa,1419950932,thanks to @ColdWarScience - timely reminder to add #aha2015 as a column on tweetdeck!,0,0,TRUE
Audra J. Wolfe,ColdWarScience,1419950936,Which reminds me: Lots of open seats last year at the #aha2015 interview tables featuring #postac #altac #nonac jobs.,0,1,FALSE
SMH Historians,SMH_Historians,1419951060,"Prof. Mark Stoler to give @GeoCMarshallFou lecture at #AHA2015, 4 Jan 2015 - http://www.smh-hq.org/™_ @AHAhistorians #Twitterstorians #MilHist",2,1,FALSE
Carl Zimring,CarlZimring,1419951492,"Hey #AHA2015 attendees, tweet or PM if you're up for drinks or lunch. #twitterstorians #envhist #histtech",1,0,FALSE
Kate Mazza,mazza_kate,1419951911,Some interesting #AHA2015 panels on writing outside academia. #63 and #294.,0,0,FALSE
Anne Whisnant,amwhisnant,1419952094,Sad that I can't do #THATCamp #aha2015 due to #altac job responsibilities at home on Tues.,0,3,FALSE
Ethan Kleinberg,ekleinberg,1419952219,"#AHA2015 New York.  I'm psyched to present ""Just the Facts: the Fantasy of an Historical Science"" http://ow.ly/G8wgc™_",2,1,FALSE
Adam Matthew,AdamMatthewGrp,1419952334,Going to #AHA2015? We'll be at Booth #429 with information on our #socialscience & #humanities digital primary source collections,0,0,FALSE
Pickering &amp; Chatto,PickeringChatto,1419952689,Going to #AHA2015 this week? Meet Series ed. (http://bit.ly/1GqFehe™_),,,
Michelle Moravec,ProfessMoravec,1419953037,thanks 4 fab tweets re network viz rushing pre #aha2015 kind @swainjo wrangled in R 4 me Now testing easy options 2 have truthy presentation,0,1,FALSE
Moshood Ibrahim ,YomMayox,1419954715,#poldi #aha2015 @Podolski10,0,0,TRUE
Stephanie A Kingsley,KingsleySteph,1419955775,"RT @katrinagulliver: @MapStory you're sponsoring the #twitterstorians party again! that is super generous. For all of us, thank you #AHA2015",0,0,FALSE
DigitalHistUMBC,DigitalHistUMBC,1419955807,MT @AneliseHShrout: @samplereality_éìs list of #DH events at #MLA2015 - a list of digital history panels at #AHA2015: http://www.anelisehshrout.com/digital-history-at-aha2015/™__éÙ,0,0,TRUE
AHA,AHAhistorians,1419956773,RT @HistCoalition: Attending #AHA2015? We'll be discussing our activity throughout 2014 and plans for 2015: http://bit.ly/1Bfo5DU™_ Join us!,5,5,FALSE
Claire Potter,TenuredRadical,1419956890,The Unofficial Guide to #aha2015: http://bit.ly/1zO0oWe™_ @AHAhistorians @NotchesBlog @jmjafrx @chaunceydevega @nursingclio @hmprescott,18,8,FALSE
Erin Bartram,erin_bartram,1419958255,"As a proud member of @GEUUAW at UConn, I'd love to meet up with any other unionized/unionizing grads at #aha2015 for a drink and a chat",1,0,FALSE
Liz Covart,lizcovart,1419959221,Top 10 Looks for your #AHA2015 Interview @megankatenelson #Twitterstorians http://histry.us/1AfZY9Q™_ pic.twitter.com/OfgHxYXZ5o,0,0,TRUE
Joseph M. Adelman,jmadelman,1419959780,"A guide to #AHA2015 from a New York local, @TenuredRadical. ",,,
Petra,PetaNez,1419960667,Still excited for the #aha2015 annual meeting; a chance to learn from the very best in the history discipline,0,1,FALSE
Joseph M. Adelman,jmadelman,1419961101,How Can I Be a Historian in This Job? A welcome return to the AHA blog to @VLVarin about a Sun AM panel at #AHA2015 http://blog.historians.org/2014/12/can-historian-job/™__éÙ,7,5,FALSE
Andrea Graham,TheAndreaGraham,1419961658,Regular check-ups are important to maintain a healthy lifestyle. What_éìs your New Year resolution? #knowyournumber #bloodpressure #aha2015,0,0,FALSE
Carla Nappi,CarlaNappi,1419961689,Great free conference app available for #aha2015 on iTunes: https://itunes.apple.com/us/app/aha-annual-meeting/id947485973?mt=8™__éÙ,0,0,TRUE
OUP American History,OUPAmHistory,1419962535,"Can't wait for #AHA2015 this weekend? Neither can we, so we put together a brief guide http://oxford.ly/1vpgPk9™_ @AHAhistorians",0,1,TRUE
UTP Publishing,utpress,1419962543,UTP's History & Medieval Studies Newsletter is Now Available: http://bit.ly/1HeQ2Q6™_ See you at #AHA2015!,3,0,FALSE
derek sayer,coastsofbohemia,1419963970,In NYC for #aha2015. Very honored to be receiving Mosse Prize for Prague book. http://www.historians.org/awards-and-grants/awards-and-prizes/george-l-mosse-prize™__éÙ,0,3,FALSE
RamapoCollegeHistory,HistoryRCNJ,1419964202,"American Historical Assoc. conference New York City, January 2-5, 2015: ""History and the Other Disciplines"" #aha2015 pic.twitter.com/bFFR4jITOZ",0,0,TRUE
AHA,AHAhistorians,1419964602,How does history help clarify current events? New post examines #NewYork #Ferguson protests & voting rights http://bit.ly/1rxDH5K™_ #aha2015,8,10,FALSE
Benjamin Wiggins,WigginsBenjamin,1419965323,I'm presenting on digital pedagogy for MOOCs at #AHA2015 w/ @smccurry3 & @rnpfsaba. Wake up early on Sat & join us!  https://aha.confex.com/aha/2015/webprogram/Session11980.html™__éÙ,1,1,FALSE
OUP American History,OUPAmHistory,1419965441,#AHA2015 begins January 2nd! Kick off the new year with the American Historical Association and OUP http://oxford.ly/13QR31S™_ @AHAhistorians,0,2,TRUE
RamapoCollegeHistory,HistoryRCNJ,1419965530,"#aha2015 conference program, New York City Jan 2-5: http://www.historians.org/annual-meeting/meeting-program™__éÙ pic.twitter.com/kSpMgNplE5",0,0,TRUE
Pete Cajka,petecajka,1419966365,Final edits on paper for #AHA2015. Almost there!,0,2,FALSE
ABocz,ajc87b,1419966600,"Preparing for #AHA2015. Looking forward to Nguyen's Bernath Lecture, Stoler on empire/intimacy, and LaCapra on theory all in one weekend",0,2,FALSE
AHA,AHAhistorians,1419967527,"RT @HistoryCtr: Coming to #aha2015? See NHC panels on voting rights, oral history, Asian American immigration & more http://bit.ly/1wLSxob™_",0,4,FALSE
Claire Potter,TenuredRadical,1419967907,The Unofficial Guide to #aha2015: http://bit.ly/1zO0oWe™_ @myHNN @insidehighered @The_OAH @BerksConference @jimdowns1 @ncwhs @NEHgov,3,2,FALSE
John Hatch,JohnHatch237,1419969420,My plane to #AHA2015 looks like it_éìs new. If it has a charging port in my seat then everything points to a glorious New Year.,0,1,FALSE
Michelle Moravec,ProfessMoravec,1419969524,holy cow have been trying to check in online for #aha2015 @HiltonHHonors NYC forever and keep getting error message,0,0,FALSE
Kait Burrier,Kait_at_CUP,1419970965,Still feeling jolly? Treat yourself & a friend to copies of our #AHA2015 ft texts 20% off w/code ME5AHA http://tinyurl.com/ohgtkyr™_ #TisTheSeason,0,0,FALSE
David Ebershoff,DavidEbershoff,1419972837,Anyone else going?  #AHA2015 ,,,
AHA Career Center,HistoryJobs,1419973134,Don't miss the #aha2015 Career Fair on 1/4 for more answers! RT @AHAhistorians: @VLVarin blogs on How Can I Be a Historian in This Job?,5,0,FALSE
Jim Grossman,JimGrossmanAHA,1419973652,#Ferguson and #Voting Rights Act in historical context.  On program at #AHA2015 and framed at http://blog.historians.org/2014/12/ferguson-voting-rights-aha-2015/™__éÙ .  #NYHistory  #history,14,4,FALSE
Chronicle,chronicle,1419975384,.@TenuredRadical's unofficial guide to #aha2015: http://chroni.cl/1y4y3dx™_,3,2,FALSE
Audra J. Wolfe,ColdWarScience,1419975803,"From the number of #aha2015 posts involving travel TODAY, I have to wonder: are historians doing NYE in NYC? (I_éìll be crawling in 1/2).",0,0,FALSE
karla holloway,ProfHolloway,1419976881,Headed to #AHA2015? Do consider leaving a daily gratuity for those who clean your hotel rooms! #5aDayHotelStay,7,7,FALSE
Rosemary G. Feal,rgfeal,1419977334,#MLA15 Let's follow suit! MT @ProfHolloway Headed to #AHA2015? Pls leave daily gratuity for ppl who clean your hotel rooms! #5aDayHotelStay,6,6,FALSE
Oxford Academic,OUPAcademic,1419980496,An #AHA2015 Conference Guide + a few after-hours recommendations http://oxford.ly/13XzUEn™_ @AHAhistorians,0,3,TRUE
SHARP at AHA,SHARPatAHA,1419981054,Here's a sample of cool stuff you can see on Jan 2 if you join @SHARPorg for a tour of @NYPL_Archives. #aha2015 pic.twitter.com/8yFrV6PMbE,0,7,TRUE
SHARP at AHA,SHARPatAHA,1419981093,RSVP for tour: https://www.facebook.com/events/483696931770897/™__éÙ #aha2015,0,0,FALSE
Denise Pooser,SimplyDenise,1419985299,@PraiseWorks @SugarFreeCoach Lynnis has an #aha2015 moment with Andrea.,0,0,TRUE
Roxanne Shirazi,RoxanneShirazi,1419987523,Building my #aha2015 schedule and I've already spent like 10 minutes deciding on the first time slot. This is gonna be tough.,0,0,FALSE
Ray Ball,ProfessorBall,1419987729,Argh! Not being able to talk is driving me crazy. I need my voice by the time #aha2015 rolls around.,0,0,FALSE
Audra J. Wolfe,ColdWarScience,1419988184,Currently at the hysterical laughter stage of picking sessions to attend at #aha2015. At what point does one just decide to attend nothing?,0,5,FALSE
UTP History Matters,utphistory,1419989090,Looking forward to AHA in NYC #AHA2015. Come visit us at Booth 316.,0,0,FALSE
Audra J. Wolfe,ColdWarScience,1419989761,"Narrowed it down to no more than four sessions per slot. That's totally doable, right? #aha2015",0,2,FALSE
Marla Miller,MarlaAtUmass,1419995475,"If you have a project in the works on a topic in the history of #publichistory, track me down at #aha2015. https://www.umass.edu/umpress/series/public-history-historical-perspective™__éÙ +",4,5,FALSE
Marla Miller,MarlaAtUmass,1419995524,Or stop by the @umasspress booth! #aha2015 https://www.umass.edu/umpress/series/public-history-historical-perspective™__éÙ,0,0,FALSE
mary dudziak,marydudziak,1420003456,#AHA2015 conference app looks good so far & is android friendly. But @AHAhistorians why on earth do you need access to my camera & photos?,0,1,FALSE
OUP American History,OUPAmHistory,1420030881,Kick off the new year with OUP at @AHAhistorians! Our #AHA2015 guide has staff recs on things to do in the city. http://oxford.ly/1vpgPk9™_,0,0,TRUE
Elaine Carey,lenicarey,1420031518,"#AHA2015 ""Teaching Students Chronology: Strategies to Help Students Develop a Chronological Framework""  https://aha.confex.com/aha/2015/webprogram/Session12563.html™__éÙ",3,4,FALSE
Carolyn Twomey,Carolyngian,1420033634,"Getting excited for #aha2015 looking through online schedule via the ap, so many #addanyway options",1,1,FALSE
ThePoliticsOfCulture,Politicultura,1420034333,Preparing talk on the death of PanAmericanism for #AHA2015: Cultures of Transnationalism w/@WestCoastAsh @alebronf https://aha.confex.com/aha/2015/webprogram/Session11402.html™__éÙ,0,0,FALSE
Katharine Bullard,kbullard4,1420035951,Heading to #aha2015? I_éìm talking #adjunct issues at 1/2 1pm panel and will be at @AdjunctAction reception 1/3 Concourse D 6:30-7:30pm,1,1,FALSE
Arissa Oh,arissaoh,1420038946,Heads up #aha2015 attendees MT @ProfHolloway Make #5aDayHotelStay (or more!) yr 2015 pledge! Leave in room thanks for hotel service workers!,4,1,FALSE
SMH Historians,SMH_Historians,1420039752,"Prof. Mark Stoler to give @GeoCMarshallFou lecture at #AHA2015, 4 Jan 2015 - http://www.smh-hq.org/™_ @AHAhistorians #Twitterstorians #MilHist",1,1,FALSE
Audra J. Wolfe,ColdWarScience,1420041648,"I_éìve come up with some rules to guide my #aha2015 decisions. First, professional development always trumps content-based papers.",0,0,FALSE
Audra J. Wolfe,ColdWarScience,1420041673,"Second, methodological/big-picture interpretive frames trump  traditional sessions. #aha2015",0,2,FALSE
Audra J. Wolfe,ColdWarScience,1420041730,"Third, sessions featuring the work of people I know are a low priority. I_éìll socialize w/ them, using sessions for new people. #aha2015",0,1,FALSE
Audra J. Wolfe,ColdWarScience,1420041788,"And finally, in the event of a tie, sessions in the same hotel as the previous session win! #aha2015",0,3,FALSE
Erin Bartram,erin_bartram,1420042856,"As I craft my #aha2015 schedule, I'm finding myself drawn to labor issues/pedagogy/methodology panels than traditional/big name panels.",0,1,FALSE
Duke UniversityPress,DUKEpress,1420043365,10 looks for  #AHA2015 or #MLA2015 interviews. _é£I_éìm not afraid of color. I_éìm also not afraid of a 4-4 teaching load._éó http://ow.ly/GDOFz™_,2,1,FALSE
Sarah Seidman,sarahjseidman,1420043601,"#AHA2015 friends: visit me & #activistnewyork @MuseumofCityNY this wk! Tour 3pm Fri, reception Sun 6-8pm. Free admission rest of conference!",3,2,FALSE
Kalani Craig,kalanicraig,1420044048,Starting #aha2015 travel day the right way: by spilling the cream for my coffee directly onto my phone.,0,4,FALSE
Sarah Zarrow,DeviantReader,1420044431,#AHA2015 starting to feel like American Hysterical Association. I see so many hijinks in the works.,0,1,FALSE
Audra J. Wolfe,ColdWarScience,1420044700,"Re: professional development, very excited about Monday_éìs line-up of media training and trade writing! #aha2015",0,0,FALSE
Columbia-LSE MA/MSc,intlworldhist,1420044741,Going to be at #AHA2015 in NY this weekend?  Want to learn more about the MA/MSc program? Give us a shout on Twitter and come find us!,0,0,FALSE
Audra J. Wolfe,ColdWarScience,1420044749,"And gah, almost tweeted that as #aha2014. A hazard of starting a meeting January 2. #aha2015",0,0,FALSE
Kyle B Roberts,kylebroberts,1420045081,"Graduate students, take note: http://bit.ly/1tAYpmA™_ Brilliant as ever, @megankatenelson #aha2015",2,3,FALSE
JesuitLibProvProject,JesuitProject,1420045233,"Come learn more about the JLPP at the Sheraton Times Square, NYC, in Madison Suite 5 on Saturday from 8:30 - 10 am. #aha2015 #acha2015",2,0,FALSE
Monica L. Mercado,monicalmercado,1420045388,"An hour away from Boston for New Year's -- historians, you are my beloved people, but I don't want to see you 'til Friday! #aha2015",0,3,FALSE
Michael Landis,DrMichaelLandis,1420045584,"@AHAhistorians @SCWHistorians @JourSouHist Come to Saturday's roundtable on McPherson's ""Battle Cry""! #Twitterstorians #aha2015",3,1,FALSE
Arissa Oh,arissaoh,1420046055,"#twitterstorians reception at #aha2015, Fri 5:30 Sheraton. Hoping I can get there btwn drinks & dinner. http://blog.historians.org/2014/12/invitation-aha-2015-reception-history-bloggers-twitterstorians/?utm_content=buffer623c8&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer™__éÙ",5,9,FALSE
Adam Carstens,adamcarstens,1420046122,@arissaoh is #aha2015 the annual convention of a-ha fans https://www.youtube.com/watch?v=djV11Xbc914™__éÙ,0,0,TRUE
Stephanie A Kingsley,KingsleySteph,1420046137,"RT @arissaoh: #twitterstorians reception at #aha2015, Fri 5:30 Sheraton. Hoping I can get there btwn drinks & dinner. http://blog.historians.org/2014/12/invitation-aha-2015-reception-history-bloggers-twitterstorians/?utm_content=buffer623c8&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer™__éÙ",2,0,FALSE
Beto Ochoa,Medscul,1420046455,_îltimas dos semanas para pegarle al ACLS!!!! Venga! #ACLS #BLS #aha2015 #heart,0,0,FALSE
Kathryn Tomasek,KathrynTomasek,1420048833,Getting ready to pack for #aha2015 ; looking forward to leading Getting Started in Digital History Workshop; so many cool examples.,0,3,FALSE
Robin Morris,ProRoMo,1420048842,Getting ready for HISTORYFEST aka #aha2015 ,,,
Liz Covart,lizcovart,1420049580,Top 10 Looks for your #AHA2015 Interview @megankatenelson #Twitterstorians http://histry.us/1txtFmd™_ pic.twitter.com/C6qHJlHWvT,0,0,TRUE
Roger Launius,Launiusr,1420050140,"RT @ColdWarScience: RT @arissaoh: #twitterstorians reception at #aha2015, Fri 5:30 Sheraton. I'll be ckming over. http://flip.it/bpPaF™_",0,0,TRUE
Andrew L. Russell,RussellProf,1420051411,"Pls join us Sunday at #aha2015 - ""History of Engineering & Engineering of History"" w @IEEEhistory @STS_News & more! https://aha.confex.com/aha/2015/webprogram/Session11991.html™__éÙ",5,6,FALSE
Gad Heuman,GadHeuman,1420051792,Traveling to New York tomorrow and hope to see some #twitterstorians (and non-twitterstorians) at #aha2015. Best wishes for 2015!,0,1,FALSE
