genezubovich,Especially looking forward to #AHA2015 panel on public intellectuals https://aha.confex.com/aha/2015/webprogram/Session10952.html»___™
MichaelHattem,Looking forward to sitting on an #AHA2015 panel about dissertation embargoes (and open access more broadly). https://aha.confex.com/aha/2015/webprogram/Session12500.html»___™
HistCoalition,Attending #AHA2015? We'll be there discussing our activity throughout 2014 and plans for 2015: http://bit.ly/1Bfo5DU»_ Join us!
VLVarin,For the #AHA2015 job seeker who wants to standout amongst a sea of drab suits: http://www.megankatenelson.com/top-ten-looks-for-your-aha-interview/»___™
roanoac1585,#aha2015  Am I the only one who wishes the AHA was more in touch with those if us at underfunded public colleges that emphasize teaching?
mariam3meem,PLEASE
NEHistoryAssoc,"Going to #aha2015 this week? Stop by our NEHA table on Saturday, for conversation and swag!"
JasonRSellers,__£@samplereality: You can sum up the differences between historians and literary scholars by their convention hashtags: #AHA2015 and #MLA15.__Ñ
petecajka,Now setting my schedule for #aha2015!
genezubovich,"#AHA2015 & #ASCH2015 panel on #religion & foreign policy, continuing a discussion begun at 2014 @SHAFRConference mtg https://aha.confex.com/aha/2015/webprogram/Session11638.html»___™"
petecajka,A Conversation about Mark Noll__Òs America__Òs God and @JohnModern  Secularism in Antebellum America. 10:30 am on Saturday. #aha2015 #amrel
lizcovart,How Can I Be a Historian in This Job? @VLVarin #AHA2015 #Twitterstorians  http://histry.us/1JXtq8X»_
AHAhistorians,"RT @monicalmercado: My morning reminder: #AHA2015, stay for #THATCamp Tuesday Jan. 6 at @TheNewSchool. Register now! http://aha2015.thatcamp.org/register/»_"
arh1,#aggies #AHSFREAKSHOW #aha2015 #AHS #AhListoQueVillero #AirAsia RT Please! Signs of Possible Cancer You Need To Know http://goo.gl/q8BkRl»_
AHAhistorians,"RT @HistoryCtr: NYC workplaces past & present: conversation w/ @rachelswarns, @davidhuyssen & others at #aha2015 http://bit.ly/1wLSxob»_"
amwhisnant,"@samplereality Historians worry about the long term. Centuries from now, might not know which ""15"" it is! :) #aha2015 #mla15"
marydudziak,Interesting #AHA2015 panel Sat 10:30 am: Far from Heaven:Perspectives on Hell through the Ages via Amer Soc. Church History #twitterstorians
amwhisnant,"Patting myself on the back for NOT proposing a sess 4 #aha2015. I am NOT now stressing, but looking forward 2 a few days in NYC."
marydudziak,"My #AHA2015 panel, The Transnational Landscapes of Civil Rights &"
genezubovich,One more #AHA2015 & #ASCH2015 panel of note: Discourses of Secularism and Pluralism https://aha.confex.com/aha/2015/webprogram/Session12139.html»___™
marydudziak,"Lots of good Sun am #AHA2015 panels eg: 11:30 am Historians & the New Sound Studies w/ papers on Sonic Booms, the Medieval Cloister & more."
erin_bartram,"#AHA2015 approaches, so it's time for me to be one of the #twitterstorians again. Looking forward to a busy weekend in NYC!"
katrinagulliver,"@MapStory you're sponsoring the #twitterstorians party again!! that is super generous. For all of us, thank you #AHA2015"
marydudziak,Great AfAm hist Mon 8:30 #AHA2015 incl Understanding Ferguson: Race Power Protest&the Past w @KhalilGMuhammad @ColinGordon6 @TomSugrue othrs
marydudziak,The Black 1980s @ #AHA2015 Mon 8:30 w @PenielJoseph & others sadly conflicts w/ #Ferguson panel & my flight. Best wishes for a great panel.
historian_tara,I have my new tweed jacket with elbow patches all ready for #aha2015 ! #academicfashion
petecajka,@BCHistoryDept historians @GrainneMcEvoy and @Carolyngian present  Sunday at 2:30 at #AHA2015. (different panels)
mauracunningham,Looking at my bank account and contemplating a serious question: how much can I afford to spend at the #AHA2015 book exhibit??
petecajka,"Monday, 8:30, #AHA2015, @charleststrauss: ""From"
afroshedoc,Shout out to the AHA for scheduling the Ferguson panel and the Black 1980s panel at the same time :/ #AHA2015
jsburkholder,Here's hoping for strong attendance at our upcoming sessions on Pietism at the AHA annual meeting in NYC. #AHA2015 @pietismstudies
belladead,2 SHARP events @  #AHA2015
belladead,"SHARP @ #AHA2015 sponsored panel, Jan 3rd 2:30 - 4:30 pm ""The Practice of Book History: Between and beyond Disciplines"""
belladead,"SHARP @ #AHA2015 panel on Jan. 3rd  2:30 - 4:30 pm in Green Room (4th floor) of the New York Hilton, Midtown (1335 Avenue of the Americas)."
lizcovart,How Can I Be a Historian in This Job? @VLVarin #Twitterstorians #AHA2015 #historyjobs  http://histry.us/1xsmxpC»_
OUPAcademic,AHA 2015: Kicking off the new year with the American Historical Association and OUP http://oxford.ly/13XzUEn»_ #AHA2015
lenicarey,"#AHA2015 #Teaching #History. Food Will Win the War: K-12 #Educators__Ò»_Workshop Teaching World War I, 1914__19 https://aha.confex.com/aha/2015/webprogram/Session12553.html»___™"
halbion,RT @Jason_M_Kelly: Don__Òt Miss the Film Festival at the American Historical Association Meeting http://ow.ly/GxOhS»_ #aha2015
EarlyAmWomen,let us know about early American women's history happenings at #AHA2015!Tweet @EarlyAmWomen  #twitterstorians #womenshistory
HistoryCtr,"Coming to #aha2015? Check out NHC panels on the Voting Rights Act, oral history, Asian American immigration & more: http://bit.ly/1wLSxob»_"
ColdWarScience,"Today's project: scheduling #aha2015. Def at the SHAFR reception, #twitterstorian reception, and mock interviews (as interviewer)."
HPS_Vanessa,thanks to @ColdWarScience - timely reminder to add #aha2015 as a column on tweetdeck!
ColdWarScience,Which reminds me: Lots of open seats last year at the #aha2015 interview tables featuring #postac #altac #nonac jobs.
SMH_Historians,"Prof. Mark Stoler to give @GeoCMarshallFou lecture at #AHA2015, 4 Jan 2015 - http://www.smh-hq.org/»_ @AHAhistorians #Twitterstorians #MilHist"
CarlZimring,"Hey #AHA2015 attendees, tweet or PM if you're up for drinks or lunch. #twitterstorians #envhist #histtech"
mazza_kate,Some interesting #AHA2015 panels on writing outside academia. #63 and #294.
amwhisnant,Sad that I can't do #THATCamp #aha2015 due to #altac job responsibilities at home on Tues.
ekleinberg,"#AHA2015 New York.  I'm psyched to present ""Just the Facts: the Fantasy of an Historical Science"" http://ow.ly/G8wgc»_"
AdamMatthewGrp,Going to #AHA2015? We'll be at Booth #429 with information on our #socialscience & #humanities digital primary source collections
PickeringChatto,Going to #AHA2015 this week? Meet Series ed. (http://bit.ly/1GqFehe»_)
ProfessMoravec,thanks 4 fab tweets re network viz rushing pre #aha2015 kind @swainjo wrangled in R 4 me Now testing easy options 2 have truthy presentation
YomMayox,#poldi #aha2015 @Podolski10
KingsleySteph,"RT @katrinagulliver: @MapStory you're sponsoring the #twitterstorians party again! that is super generous. For all of us, thank you #AHA2015"
DigitalHistUMBC,MT @AneliseHShrout: @samplereality__Òs list of #DH events at #MLA2015 - a list of digital history panels at #AHA2015: http://www.anelisehshrout.com/digital-history-at-aha2015/»___™
AHAhistorians,RT @HistCoalition: Attending #AHA2015? We'll be discussing our activity throughout 2014 and plans for 2015: http://bit.ly/1Bfo5DU»_ Join us!
TenuredRadical,The Unofficial Guide to #aha2015: http://bit.ly/1zO0oWe»_ @AHAhistorians @NotchesBlog @jmjafrx @chaunceydevega @nursingclio @hmprescott
erin_bartram,"As a proud member of @GEUUAW at UConn, I'd love to meet up with any other unionized/unionizing grads at #aha2015 for a drink and a chat"
lizcovart,Top 10 Looks for your #AHA2015 Interview @megankatenelson #Twitterstorians http://histry.us/1AfZY9Q»_ pic.twitter.com/OfgHxYXZ5o
jmadelman,"A guide to #AHA2015 from a New York local, @TenuredRadical. "
PetaNez,Still excited for the #aha2015 annual meeting; a chance to learn from the very best in the history discipline
jmadelman,How Can I Be a Historian in This Job? A welcome return to the AHA blog to @VLVarin about a Sun AM panel at #AHA2015 http://blog.historians.org/2014/12/can-historian-job/»___™
TheAndreaGraham,Regular check-ups are important to maintain a healthy lifestyle. What__Òs your New Year resolution? #knowyournumber #bloodpressure #aha2015
CarlaNappi,Great free conference app available for #aha2015 on iTunes: https://itunes.apple.com/us/app/aha-annual-meeting/id947485973?mt=8»___™
OUPAmHistory,"Can't wait for #AHA2015 this weekend? Neither can we, so we put together a brief guide http://oxford.ly/1vpgPk9»_ @AHAhistorians"
utpress,UTP's History & Medieval Studies Newsletter is Now Available: http://bit.ly/1HeQ2Q6»_ See you at #AHA2015!
coastsofbohemia,In NYC for #aha2015. Very honored to be receiving Mosse Prize for Prague book. http://www.historians.org/awards-and-grants/awards-and-prizes/george-l-mosse-prize»___™
HistoryRCNJ,"American Historical Assoc. conference New York City, January 2-5, 2015: ""History and the Other Disciplines"" #aha2015 pic.twitter.com/bFFR4jITOZ"
AHAhistorians,How does history help clarify current events? New post examines #NewYork #Ferguson protests & voting rights http://bit.ly/1rxDH5K»_ #aha2015
WigginsBenjamin,I'm presenting on digital pedagogy for MOOCs at #AHA2015 w/ @smccurry3 & @rnpfsaba. Wake up early on Sat & join us!  https://aha.confex.com/aha/2015/webprogram/Session11980.html»___™
OUPAmHistory,#AHA2015 begins January 2nd! Kick off the new year with the American Historical Association and OUP http://oxford.ly/13QR31S»_ @AHAhistorians
HistoryRCNJ,"#aha2015 conference program, New York City Jan 2-5: http://www.historians.org/annual-meeting/meeting-program»___™ pic.twitter.com/kSpMgNplE5"
petecajka,Final edits on paper for #AHA2015. Almost there!
ajc87b,"Preparing for #AHA2015. Looking forward to Nguyen's Bernath Lecture, Stoler on empire/intimacy, and LaCapra on theory all in one weekend"
AHAhistorians,"RT @HistoryCtr: Coming to #aha2015? See NHC panels on voting rights, oral history, Asian American immigration & more http://bit.ly/1wLSxob»_"
TenuredRadical,The Unofficial Guide to #aha2015: http://bit.ly/1zO0oWe»_ @myHNN @insidehighered @The_OAH @BerksConference @jimdowns1 @ncwhs @NEHgov
JohnHatch237,My plane to #AHA2015 looks like it__Òs new. If it has a charging port in my seat then everything points to a glorious New Year.
ProfessMoravec,holy cow have been trying to check in online for #aha2015 @HiltonHHonors NYC forever and keep getting error message
Kait_at_CUP,Still feeling jolly? Treat yourself & a friend to copies of our #AHA2015 ft texts 20% off w/code ME5AHA http://tinyurl.com/ohgtkyr»_ #TisTheSeason
DavidEbershoff,Anyone else going?  #AHA2015 
HistoryJobs,Don't miss the #aha2015 Career Fair on 1/4 for more answers! RT @AHAhistorians: @VLVarin blogs on How Can I Be a Historian in This Job?
JimGrossmanAHA,#Ferguson and #Voting Rights Act in historical context.  On program at #AHA2015 and framed at http://blog.historians.org/2014/12/ferguson-voting-rights-aha-2015/»___™ .  #NYHistory  #history
chronicle,.@TenuredRadical's unofficial guide to #aha2015: http://chroni.cl/1y4y3dx»_
ColdWarScience,"From the number of #aha2015 posts involving travel TODAY, I have to wonder: are historians doing NYE in NYC? (I__Òll be crawling in 1/2)."
ProfHolloway,Headed to #AHA2015? Do consider leaving a daily gratuity for those who clean your hotel rooms! #5aDayHotelStay
rgfeal,#MLA15 Let's follow suit! MT @ProfHolloway Headed to #AHA2015? Pls leave daily gratuity for ppl who clean your hotel rooms! #5aDayHotelStay
OUPAcademic,An #AHA2015 Conference Guide + a few after-hours recommendations http://oxford.ly/13XzUEn»_ @AHAhistorians
SHARPatAHA,Here's a sample of cool stuff you can see on Jan 2 if you join @SHARPorg for a tour of @NYPL_Archives. #aha2015 pic.twitter.com/8yFrV6PMbE
SHARPatAHA,RSVP for tour: https://www.facebook.com/events/483696931770897/»___™ #aha2015
SimplyDenise,@PraiseWorks @SugarFreeCoach Lynnis has an #aha2015 moment with Andrea.
RoxanneShirazi,Building my #aha2015 schedule and I've already spent like 10 minutes deciding on the first time slot. This is gonna be tough.
ProfessorBall,Argh! Not being able to talk is driving me crazy. I need my voice by the time #aha2015 rolls around.
ColdWarScience,Currently at the hysterical laughter stage of picking sessions to attend at #aha2015. At what point does one just decide to attend nothing?
utphistory,Looking forward to AHA in NYC #AHA2015. Come visit us at Booth 316.
ColdWarScience,"Narrowed it down to no more than four sessions per slot. That's totally doable, right? #aha2015"
MarlaAtUmass,"If you have a project in the works on a topic in the history of #publichistory, track me down at #aha2015. https://www.umass.edu/umpress/series/public-history-historical-perspective»___™ +"
MarlaAtUmass,Or stop by the @umasspress booth! #aha2015 https://www.umass.edu/umpress/series/public-history-historical-perspective»___™
marydudziak,#AHA2015 conference app looks good so far & is android friendly. But @AHAhistorians why on earth do you need access to my camera & photos?
OUPAmHistory,Kick off the new year with OUP at @AHAhistorians! Our #AHA2015 guide has staff recs on things to do in the city. http://oxford.ly/1vpgPk9»_
lenicarey,"#AHA2015 ""Teaching Students Chronology: Strategies to Help Students Develop a Chronological Framework""  https://aha.confex.com/aha/2015/webprogram/Session12563.html»___™"
Carolyngian,"Getting excited for #aha2015 looking through online schedule via the ap, so many #addanyway options"
Politicultura,Preparing talk on the death of PanAmericanism for #AHA2015: Cultures of Transnationalism w/@WestCoastAsh @alebronf https://aha.confex.com/aha/2015/webprogram/Session11402.html»___™
kbullard4,Heading to #aha2015? I__Òm talking #adjunct issues at 1/2 1pm panel and will be at @AdjunctAction reception 1/3 Concourse D 6:30-7:30pm
arissaoh,Heads up #aha2015 attendees MT @ProfHolloway Make #5aDayHotelStay (or more!) yr 2015 pledge! Leave in room thanks for hotel service workers!
SMH_Historians,"Prof. Mark Stoler to give @GeoCMarshallFou lecture at #AHA2015, 4 Jan 2015 - http://www.smh-hq.org/»_ @AHAhistorians #Twitterstorians #MilHist"
ColdWarScience,"I__Òve come up with some rules to guide my #aha2015 decisions. First, professional development always trumps content-based papers."
ColdWarScience,"Second, methodological/big-picture interpretive frames trump  traditional sessions. #aha2015"
ColdWarScience,"Third, sessions featuring the work of people I know are a low priority. I__Òll socialize w/ them, using sessions for new people. #aha2015"
ColdWarScience,"And finally, in the event of a tie, sessions in the same hotel as the previous session win! #aha2015"
erin_bartram,"As I craft my #aha2015 schedule, I'm finding myself drawn to labor issues/pedagogy/methodology panels than traditional/big name panels."
DUKEpress,10 looks for  #AHA2015 or #MLA2015 interviews. __£I__Òm not afraid of color. I__Òm also not afraid of a 4-4 teaching load.__Ñ http://ow.ly/GDOFz»_
sarahjseidman,"#AHA2015 friends: visit me & #activistnewyork @MuseumofCityNY this wk! Tour 3pm Fri, reception Sun 6-8pm. Free admission rest of conference!"
kalanicraig,Starting #aha2015 travel day the right way: by spilling the cream for my coffee directly onto my phone.
DeviantReader,#AHA2015 starting to feel like American Hysterical Association. I see so many hijinks in the works.
ColdWarScience,"Re: professional development, very excited about Monday__Òs line-up of media training and trade writing! #aha2015"
intlworldhist,Going to be at #AHA2015 in NY this weekend?  Want to learn more about the MA/MSc program? Give us a shout on Twitter and come find us!
ColdWarScience,"And gah, almost tweeted that as #aha2014. A hazard of starting a meeting January 2. #aha2015"
kylebroberts,"Graduate students, take note: http://bit.ly/1tAYpmA»_ Brilliant as ever, @megankatenelson #aha2015"
JesuitProject,"Come learn more about the JLPP at the Sheraton Times Square, NYC, in Madison Suite 5 on Saturday from 8:30 - 10 am. #aha2015 #acha2015"
monicalmercado,"An hour away from Boston for New Year's -- historians, you are my beloved people, but I don't want to see you 'til Friday! #aha2015"
DrMichaelLandis,"@AHAhistorians @SCWHistorians @JourSouHist Come to Saturday's roundtable on McPherson's ""Battle Cry""! #Twitterstorians #aha2015"
arissaoh,"#twitterstorians reception at #aha2015, Fri 5:30 Sheraton. Hoping I can get there btwn drinks & dinner. http://blog.historians.org/2014/12/invitation-aha-2015-reception-history-bloggers-twitterstorians/?utm_content=buffer623c8&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer»___™"
adamcarstens,@arissaoh is #aha2015 the annual convention of a-ha fans https://www.youtube.com/watch?v=djV11Xbc914»___™
KingsleySteph,"RT @arissaoh: #twitterstorians reception at #aha2015, Fri 5:30 Sheraton. Hoping I can get there btwn drinks & dinner. http://blog.historians.org/2014/12/invitation-aha-2015-reception-history-bloggers-twitterstorians/?utm_content=buffer623c8&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer»___™"
Medscul,_Óltimas dos semanas para pegarle al ACLS!!!! Venga! #ACLS #BLS #aha2015 #heart
KathrynTomasek,Getting ready to pack for #aha2015 ; looking forward to leading Getting Started in Digital History Workshop; so many cool examples.
ProRoMo,Getting ready for HISTORYFEST aka #aha2015 
lizcovart,Top 10 Looks for your #AHA2015 Interview @megankatenelson #Twitterstorians http://histry.us/1txtFmd»_ pic.twitter.com/C6qHJlHWvT
Launiusr,"RT @ColdWarScience: RT @arissaoh: #twitterstorians reception at #aha2015, Fri 5:30 Sheraton. I'll be ckming over. http://flip.it/bpPaF»_"
RussellProf,"Pls join us Sunday at #aha2015 - ""History of Engineering & Engineering of History"" w @IEEEhistory @STS_News & more! https://aha.confex.com/aha/2015/webprogram/Session11991.html»___™"
GadHeuman,Traveling to New York tomorrow and hope to see some #twitterstorians (and non-twitterstorians) at #aha2015. Best wishes for 2015!
whimbot,"Mapping my #aha2015 strategy! Excited abt poster sessions, the seeming epicenter of strangeness & #matcult. (& yes, I myself have a poster!)"
SHARPatAHA,Join @sharporg for a tour of NYPL on Jan 2. Here's another sneak peek: https://www.facebook.com/SHARPatAHA/photos/a.287098734670799.62894.223529854361021/814208441959823/?type=1»___™ #aha2015
RadhikaAN,It would be great to meet some #twitterstorians in person at the #aha2015 reception Friday 5:30 Sheraton. http://blog.historians.org/2014/12/invitation-aha-2015-reception-history-bloggers-twitterstorians/?utm_content=buffer623c8&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer»___™ __™
theonenarrative,@cliotropic will I (@heidiknoblauch) be seeing you at #aha2015 #thatcamp?
cliotropic,Hey #twitterstorians: registration is filling up fast for #THATCamp #aha2015! Tuesday at @TheNewSchool. Register at http://aha2015.thatcamp.org»_
AHAhistorians,RT @cliotropic: Hey #twitterstorians: registration filling up for #THATCamp #aha2015! Tues @TheNewSchool. Register at http://aha2015.thatcamp.org»_
historying,Finished up notes for my #aha2015 talk. Come join us on Sunday at 9AM to talk about digital scholarship! https://aha.confex.com/aha/2015/webprogram/Session12203.html»___™
arothmanhistory,"Microhistories of the illegal slave trade and the Old South. #aha2015 panel, Saturday at 2:30. https://aha.confex.com/aha/2015/webprogram/Session11652.html»___™"
dienstmann75,Arriving in NYC for #aha2015
Katherineofl,@RadhikaAN I'm also looking forward to meeting some #twitterstorians at #aha2015
GiilGouveia,@tiaguinsousa @Podolski10 #VoltaPoldi #VoltaCopa #aha #aha2015
mbarcia24,Leaving soon for NYC for the annual meeting of the @AHAhistorians #aha2015 #twitterstorians
jdhamblin,NYPD is out in force tonight near Times Square. Must be for #aha2015
TheRealAHA,"Guess who just made their first video? Check it out, some cool stuff goes down... http://youtu.be/GBdTXGAkW9s»_  #YouTube #hyper #aha2015"
ColdWarScience,Feeling a bit dim: is there a way to add appointments to the #aha2015 app schedule? Or only sessions?
OUPAmHistory,We're so excited to be at #AHA2015 that we invited a special guest; we even hear that he'll be doing photo ops! pic.twitter.com/IsbHR08yyI
lenicarey,"#AHA2015 ""What Should History Teachers Learn at Historic Sites? A Research Agenda"" #teachinghistory https://aha.confex.com/aha/2015/webprogram/Session11664.html»___™"
DrMichaelLandis,@McKellogs my small bag prevents me from taking cool shoes to the AHA #ProfStyle #aha2015
McKellogs,"@DrMichaelLandis fair enough. Better watch out though, I've seen some #aha2015 fashion posts already!"
batalan27,RT @ifalatas: Going to New York tomorrow to attend #aha2015 and meet other #twitterstorians! Come ... http://m.tmi.me/1eVvar»_
ProfessMoravec,happy I picked a lower floor at #aha2015. Not only a great view from corner but the elevator line MUCH shorter!
lalalahateu,ide zrobic popcorn lol :cc #aha2015
briansarnacki,A reminder for #twitterstorians going to #aha2015 to please fill out a short survey saying how much it will cost https://docs.google.com/forms/d/1m3Kwjjq9sbn6cKnK4evEXFACv1WGG2zdfesWiuP0tDc/viewform»___™
iainwatts,"Gearing up for #aha2015 in NYC, along with a veritable army of #twitterstorians it would seem."
lizlucyt,.@ColdWarScience Can only add existing items to My Schedule. To-do List can be customized in #aha2015 app
Arsenal00123,Tomorrow guys!!
hssonline,Lots of great #histSTM panels at #aha2015! Come visit us at our #hss affiliate table (and send your friends!) 11:30-2:30 on Saturday!
o252_com,photoblog
jeriwieringa,New Year's Eve in New York City with the lovely @nolauren and then #aha2015
jotis13,"I haven't tweeted ALL YEAR! But don't worry, I'm leaving for #aha2015 in a few hours, so I'll be tweeting up a storm soon #twitterstorians"
jmulich,Happy new year's everyone! I'll be spending the night flying from sfo to jfk for the #AHA2015
siyamfun,Happy New year darling #NYE2015 @LadyLee82 #brightandearly #NewYear #EPIC year #aha2015 pic.twitter.com/Js1j63DNbG
35vsftevv,My msgs to start the year #aha2015 pic.twitter.com/qHo8zXFbVI
hardlyAlex,Happy New Year! At Heathrow and waiting for my flight to New York City for the American Historical Association annual meeting! #aha2015
alceciurquieta,@Podolski10 @BSchweinsteiger @esmuellert_ @MarioGoetze @Manuel_Neuer @ToniKroos #birthday #aha2015 #BirthdayWish pic.twitter.com/Z58jdKdfgF
d_smith2407,@Podolski10 I hope you stay and the club doesn't force you out! True gunner and gunners love you! Happy new year Poldi! #aha2015
Nicoloulou69,Le drapeau europ_üen derri_©re celui de la France est un signe. #sijevousledis #V_uxPR #aha2015 pic.twitter.com/qFfdjOwjIy
ryankean0,#Podolski #poldi #bbcfootball #SkyFootball #skysportsnewshq #aha2015 pic.twitter.com/uznbAL753l
Steve_J_Taylor,I'm at Heathrow and on my way to #aha2015. New York here I come!
alisaplant,On my way to New York! #aha2015
joseph_hower,What were the odds that the day I'd fly out for #aha2015 would feature the only 'winter' storm of the year here in TX?
aeguerson,"conference app downloaded, important events added to calendar, bags packed, NYC here I come! #AHA2015"
MoniqueLaney,Looking forward to it! #AHA2015 Invitation to the AHA 2015 Reception for History Bloggers and Twitterstorians  http://blog.historians.org/2014/12/invitation-aha-2015-reception-history-bloggers-twitterstorians/»___™
PamelaScully,"#AHA2015  ""Redefining Childhood through State-Sponsored Child Protection Initiatives..""  Sat 10:30 10:30 AM Empire Ball room West, Sheraton"
PamelaScully,"Looking forward to the #AHA2015 Interesting papers on Ferguson, gender history, and human rights."
emuehlbe,Going to #aha2015 ? Venture over to an ASCH session on Sat AM and learn about the emotions in early Christianity: http://tinyurl.com/EmotPassEC»_
SMH_Historians,"Prof. Mark Stoler to give @GeoCMarshallFou lecture at #AHA2015, 4 Jan 2015 - http://www.smh-hq.org/»_ @AHAhistorians #Twitterstorians #MilHist"
Doctor_Corb,#aha2015 let's do this
horse_thatbooks,Register now for #AHA2015 -- can't wait to finish up fast for #aha2015 due to. #thatcamp
VegHistory,@jaheppler Very welcome! Living vicariously since missing #aha2015 this year.
floridapress,Celebrate the new year w/ @AHAhistorians at #AHA2015 tomorrow http://www.historians.org/annual-meeting»_! See our virtual booth at http://bit.ly/1Az4myn»_.
JenServenti,On the Hogwarts Train from DC to NYC for #aha2015.
RobTaber,"Syllabus for next semester done! Age of Atlantic Revolutions, version 3.0 Time for #AHA2015 https://www.academia.edu/9969808/EUH_LAH_3931_Atlantic_Revolutions_France_Haiti_Spanish_America_Spring_2015_»___™"
ProfessorBall,Dim sum at Sky Dragon and then it's off to #nyc for #AHA2015
hmprescott,@ColdWarScience hope to see you at #twitterstorian reception #aha2015
rgfeal,"Happy to be attending part of #AHA2015 before leaving for #MLA15. Several present, past, and I hope future MLA staff members are on program."
eric_a_paul,"Interested in adjunct struggle? #AHA2015 panel ""The Adjunct Problem: Collaborating for a Solution"" @AdjunctAction https://aha.confex.com/aha/2015/webprogram/Session12436.html»___™"
briansarnacki,As you travel to #aha2015 please remember to fill out this cost survey form https://docs.google.com/forms/d/1m3Kwjjq9sbn6cKnK4evEXFACv1WGG2zdfesWiuP0tDc/viewform»___™
CJCampbell123,#twitterstorians at #AHA2015 - check out our CFP for @EmptySpacesIHR at the @ihr_history in London in April 2015! https://www.academia.edu/9809969/CFP_Empty_Spaces_A_One-Day_Conference_at_the_Institute_of_Historical_Research_London_10th_April_2015»___™
jmcclurken,"Hadn't even gotten in line for the train to #AHA2015 when I saw my first historian, @sme2331, with his family as well."
